--- 2026-06-25 02:51:52 ---
Name: agent-tool-host | ID: 25280 | Path: c:\Users\sharm\AppData\Local\Programs\Trae\resources\app\modules\ai-agent\bin\agent-tool-host.exe
Name: msedgewebview2 | ID: 12080 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 13152 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 13240 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 13552 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 13568 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 13724 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 13976 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 14748 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 14892 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 19076 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 19688 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 20740 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 24160 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 24172 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 24384 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 24964 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 25900 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 27636 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 29012 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: msedgewebview2 | ID: 29256 | Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.80\msedgewebview2.exe
Name: MsMpEng | ID: 6340 | Path: 
Name: mysqld | ID: 5960 | Path: C:\Program Files\MySQL\MySQL Server 9.7\bin\mysqld.exe
Name: mysqld | ID: 6880 | Path: C:\Program Files\MySQL\MySQL Server 9.7\bin\mysqld.exe
Name: NetworkCap | ID: 3480 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_db0ee1e66e6d408e\x64\NetworkCap.exe
Name: NgcIso | ID: 10664 | Path: 
Name: NisSrv | ID: 4020 | Path: 
Name: node | ID: 7588 | Path: C:\Program Files\nodejs\node.exe
Name: node | ID: 32472 | Path: C:\Program Files\nodejs\node.exe
Name: node | ID: 32860 | Path: C:\Program Files\nodejs\node.exe
Name: node | ID: 32960 | Path: C:\Program Files\nodejs\node.exe
Name: NVDisplay.Container | ID: 3116 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\nvhm.inf_amd64_2469f7e4a242ca84\Display.NvContainer\NVDisplay.Container.exe
Name: NVDisplay.Container | ID: 4864 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\nvhm.inf_amd64_2469f7e4a242ca84\Display.NvContainer\NVDisplay.Container.exe
Name: OfficeClickToRun | ID: 5228 | Path: C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe
Name: ollama | ID: 20144 | Path: C:\Users\sharm\AppData\Local\Programs\Ollama\ollama.exe
Name: ollama app | ID: 19976 | Path: C:\Users\sharm\AppData\Local\Programs\Ollama\ollama app.exe
Name: OmenCap | ID: 2580 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\hpomencustomcapcomp.inf_amd64_38ec91e432e20182\x64\OmenCap\OmenCap.exe
Name: OneDrive.Sync.Service | ID: 19280 | Path: C:\Program Files\Microsoft OneDrive\26.098.0524.0004\OneDrive.Sync.Service.exe
Name: ONENOTEM | ID: 20420 | Path: C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE
Name: OpenConsole | ID: 20412 | Path: c:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\fcf604774b\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
Name: OpenConsole | ID: 29324 | Path: c:\Users\sharm\AppData\Local\Programs\Microsoft VS Code\fcf604774b\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
Name: powershell | ID: 1632 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 4140 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 7188 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 16200 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 19592 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 25012 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 26148 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 27048 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 30624 | Path: C:\windows\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 31548 | Path: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe
Name: powershell | ID: 32692 | Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Name: PresentMonService | ID: 5380 | Path: C:\Program Files\Intel\PresentMonSharedService\PresentMonService.exe
Name: PresentMonService | ID: 7972 | Path: C:\Program Files\Intel\Intel Graphics Software\PresentMonService.exe
Name: ReconsentNotification | ID: 16284 | Path: C:\Program Files\WindowsApps\AD2F1837.HPPrivacySettings_1.5.22.0_x64__v10z8vjag6ke6\DialogHost\ReconsentNotification.exe
Name: Registry | ID: 232 | Path: 
Name: RtkAudUService64 | ID: 6392 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_1c5e940d4ffae802\RtkAudUService64.exe
Name: RtkAudUService64 | ID: 10648 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_1c5e940d4ffae802\RtkAudUService64.exe
Name: RtkAudUService64 | ID: 15432 | Path: C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_1c5e940d4ffae802\RtkAudUService64.exe
Name: RuntimeBroker | ID: 3456 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: RuntimeBroker | ID: 6108 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: RuntimeBroker | ID: 11996 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: RuntimeBroker | ID: 12280 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: RuntimeBroker | ID: 18532 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: RuntimeBroker | ID: 20612 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: RuntimeBroker | ID: 22072 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: RuntimeBroker | ID: 28744 | Path: C:\Windows\System32\RuntimeBroker.exe
Name: rustdesk | ID: 16516 | Path: C:\Users\sharm\AppData\Local\rustdesk\.\rustdesk.exe
Name: SDXHelper | ID: 13772 | Path: C:\Program Files\Microsoft Office\Root\Office16\SDXHelper.exe
Name: SearchHost | ID: 11988 | Path: C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe
Name: SearchIndexer | ID: 18948 | Path: C:\WINDOWS\system32\SearchIndexer.exe
Name: SearchProtocolHost | ID: 30736 | Path: C:\WINDOWS\System32\SearchProtocolHost.exe
Name: SECOCL64 | ID: 7352 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\seapo64.inf_amd64_deaeb20891c6fa3a\SECOCL64.exe
Name: SECOMN64 | ID: 6228 | Path: C:\WINDOWS\System32\DriverStore\FileRepository\seapo64.inf_amd64_deaeb20891c6fa3a\SECOMN64.exe
Name: Secure System | ID: 188 | Path: 
Name: SecurityHealthService | ID: 11568 | Path: 
Name: SecurityHealthSystray | ID: 17004 | Path: C:\Windows\System32\SecurityHealthSystray.exe
Name: server | ID: 22836 | Path: C:\AiPreventPlatform\server\server.exe
Name: services | ID: 1296 | Path: 
Name: ShellExperienceHost | ID: 10704 | Path: C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
Name: ShellHost | ID: 16944 | Path: C:\Windows\System32\ShellHost.exe
Name: sihost | ID: 9336 | Path: C:\WINDOWS\system32\sihost.exe
Name: smartscreen | ID: 24588 | Path: C:\Windows\System32\smartscreen.exe
Name: smss | ID: 788 | Path: 
Name: spoolsv | ID: 4512 | Path: C:\WINDOWS\System32\spoolsv.exe
Name: StartMenuExperienceHost | ID: 11952 | Path: C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe
